id,valor,hora,pais,dispositivo,tentativas,cartao_presente,fraude
01c1967e-b663-4ad6-a404-285c5f72d7ff,3070.44,8,US,desktop,3,False,1
8b66c69f-1dd4-4e12-8a8f-df57f568d45a,4671.24,17,BR,desktop,1,False,0
2d461be6-7db6-42fc-add8-52d1a8668fe1,184.51,5,FR,desktop,2,True,1
5cd3631b-e66f-4aac-9ef1-3e507df88924,721.02,13,FR,mobile,1,True,1
475f5dc0-0f0a-40c3-a776-edae5935474f,430.92,16,DE,mobile,4,False,1
80182c9c-5e1a-4fd1-b4a4-4019de42457d,776.1,9,BR,mobile,4,False,1
6ea8a933-dd62-474d-bb4c-ac3c65cb4d2b,4297.39,19,DE,mobile,4,False,1
286dce31-3a51-4cc5-8b8b-a6041819cb86,2270.19,23,DE,desktop,4,True,1
2a3c3008-61a7-4dc7-a188-002cb54fd52a,1587.39,21,DE,desktop,1,False,0
f63a3ac0-9b53-4186-96ba-d162249b9c80,226.65,23,US,mobile,5,False,1
439d5062-1486-4ea2-8be8-9d486a4ced15,1832.86,22,US,desktop,5,True,1
d28c2276-5730-4f36-bd2e-6df003460b4b,629.01,19,BR,desktop,4,False,1
676307a1-cd81-487b-9f8f-fb7a81287516,3158.32,7,US,mobile,3,False,1
439fb3db-99fe-4f00-94b9-099cd9ef0aa5,1038.2,10,DE,desktop,1,False,0
a03e5613-2d58-461f-b227-8d81ad5d1b39,4344.13,18,DE,mobile,4,False,1
8fe4b670-1893-42eb-b051-1fd342bec545,191.99,8,FR,mobile,4,True,1
24244cce-7750-457a-af80-5936dcbfd0ea,1834.4,0,BR,mobile,3,False,0
174c5e4f-0c24-4462-81aa-08d06c035199,3196.16,7,US,desktop,3,False,1
ddbc0c4d-c3d6-45a6-8fde-f814e2103ef3,942.25,20,DE,mobile,5,False,1
7c10c7ae-f5e7-4b1f-85e4-ca3e87c43c5f,1972.97,2,DE,mobile,2,True,1
0a666a23-2c10-4737-90e5-1c1aa7119795,1004.98,12,BR,desktop,1,False,0
d87f2f74-0ef3-49fd-bb39-85b456a53292,4623.2,4,DE,desktop,5,False,1
0cfa82c8-59b9-4933-bf3e-15f24e0e1a33,1155.15,15,FR,mobile,3,True,1
1133623e-8f6a-4fed-830f-8a1b0b4b7cad,4170.49,11,FR,desktop,5,False,1
ab5e25f0-4ce8-4ee9-be3f-a335b27297df,1883.82,17,DE,desktop,2,True,1
dfbc217d-c6e2-4389-ac3e-172a8c973c54,880.33,10,DE,mobile,4,True,1
0968bf40-8aad-46c7-99bb-d2ca4df75419,4355.13,18,DE,desktop,5,True,1
a49ebbe9-15c0-4a35-b529-37ffb9cb9ec8,2310.65,8,FR,desktop,5,True,1
90ef143f-f920-4666-b285-50712044f37b,4392.04,7,US,desktop,1,True,1
d48068c6-a3c3-47f4-a3cb-b505d0347762,4886.95,6,US,mobile,2,False,1
b18aa648-93a4-4a79-b7a7-d12734cb15ba,3656.21,14,DE,mobile,2,False,1
127cf954-75c3-4977-8f12-7a0085e7c788,3208.67,2,FR,desktop,1,True,1
2c80e324-7130-4224-a5fd-c23d42becf88,626.08,10,BR,mobile,5,False,1
1305d796-464d-4ea5-a81d-5c1e003b53ae,3607.98,9,BR,mobile,2,True,1
ae4fb565-0b44-41d4-a5bb-2e17906d7f68,1449.66,13,FR,desktop,5,False,1
47e00667-ed83-40f1-8282-ea0032ab9130,2235.53,10,DE,desktop,2,False,1
b4d0401c-5655-4347-8132-9651e35c4c7d,1336.88,12,DE,desktop,3,True,1
2a0a97bf-f89f-4932-99de-e170862f11ef,1430.22,16,DE,mobile,2,True,1
f498b952-5a9e-44d0-9896-280345f8102b,4520.07,22,DE,mobile,2,True,1
6429b477-6fe5-4547-aba0-00d9cb322b93,3366.48,14,US,desktop,3,False,1
00a38d06-6f61-4ea0-9dd0-2edafd8a8403,2705.78,15,BR,mobile,1,False,0
9e00dc17-e574-4fe2-8d46-948298072eb3,2860.16,18,US,mobile,4,True,1
5635a884-5678-44f6-bac3-e7cfb6d02f2a,912.99,9,BR,desktop,1,False,0
2884a962-3550-46e9-a7dd-bf2e9b281de5,4753.3,10,FR,mobile,4,True,1
e0be0f06-4dc0-4b37-8322-344fde1ef386,3101.51,14,BR,desktop,2,True,1
707057af-a0a6-42fd-a707-3a5d643222a8,3183.83,15,BR,mobile,5,True,1
53366607-71f7-4714-b974-93fda5a68e6c,4268.21,5,DE,mobile,2,False,1
d51d6e5c-eb30-4718-ac5d-c3817ec5c92e,1243.46,8,BR,desktop,2,True,1
ca0dd048-b3a8-4de6-9594-e0119e66083f,2669.54,17,FR,mobile,2,False,1
0f73c0b5-f6a6-4443-b888-051718ee04aa,960.23,4,DE,mobile,3,True,1
863a184c-cfa8-40c6-a03c-2a648ea532cb,4300.44,17,FR,desktop,4,False,1
5bdcf5aa-0eae-4d24-96b0-536898b4fed9,2966.53,15,FR,mobile,3,False,1
c94b141a-72bd-4c19-b669-5d68fe1d309f,1259.66,18,US,mobile,3,False,0
27ffdb10-eb3c-4b21-bac5-1280468075fb,487.47,8,BR,mobile,3,False,0
672c2154-3db8-453a-94d2-bdcec7c423e4,3130.62,22,BR,desktop,1,False,0
291c512f-50ed-4f13-95fe-524c591f3411,1032.71,18,FR,mobile,3,False,0
f170dd5a-d2ed-4007-9662-bb8478494649,4106.75,13,BR,desktop,3,True,1
37c60fdf-17b1-4539-9d17-d99a98a9249a,4683.29,9,BR,mobile,2,False,0
7dfdf7d9-59b9-4423-8513-acc12dc4a0a2,810.1,19,BR,desktop,3,False,0
4382e691-4118-4289-93c5-1b68e91dced9,1747.26,4,BR,mobile,5,True,1
1281d6ae-11da-40f7-9aaa-aedb8380393e,3907.13,2,BR,mobile,4,False,1
8229df41-57db-4e90-88f7-becdf3741a6c,2249.01,12,DE,mobile,4,True,1
980484fd-93d4-4919-9f8c-5cddeef0e879,1385.57,8,DE,desktop,2,False,0
e13915bc-f5d7-4830-accd-b06b1b7322c7,1933.65,15,US,desktop,4,False,1
f4f454c7-242f-4951-a48a-a8b8eb8d64d8,3327.04,19,DE,desktop,3,False,1
04378c1f-da42-436b-a072-6105fc8a3e9c,3237.5,2,FR,mobile,5,False,1
b5201cbb-78b5-426e-9bd1-6029682d8d57,1058.98,19,DE,desktop,1,True,1
c6343694-b33f-4d3d-aea8-e0f12c9ed8dd,1013.47,17,US,mobile,2,False,0
c5916a5f-4736-4dd4-895b-1191a4ce481d,1856.62,17,BR,mobile,5,True,1
99648caa-4b6f-4ed9-a3c0-98c2bef1ac26,3321.11,4,FR,desktop,2,True,1
6824c174-b403-4ca8-bf57-10a3fd027024,493.41,19,FR,mobile,1,False,0
9b548f54-8e4b-4fc7-8aa1-b16680865ad8,4270.79,7,US,mobile,2,True,1
1f0c3255-0978-476e-860a-1a10dce08b46,2406.18,12,US,mobile,1,False,1
b78263bc-3512-4c24-820f-01824769376f,1377.62,12,FR,desktop,3,False,0
548073cc-692f-4c50-96bd-c3bad68573d0,2469.33,19,FR,desktop,4,True,1
82a4ca0a-643e-4885-83ad-3d60fa0811b0,2891.64,23,FR,mobile,2,False,1
